country,country_population,id,province,confirmed,deaths,recovered,latitude,longitude,deaths/population (%),confirmed/population (%),deaths/confirmed (%)
Afghanistan,29121286.0,0,,665,21,0,33.0,65.0,7.211219999006912e-05,0.002283552999685522,3.1578947368421053
Albania,2986952.0,1,,467,23,0,41.1533,20.1683,0.0007700157217123007,0.01563466704520193,4.925053533190578
Algeria,34586184.0,2,,1983,313,0,28.0339,1.6596,0.0009049856439785319,0.005733503297154725,15.784165405950578
Andorra,84000.0,3,,646,29,0,42.5063,1.5218,0.034523809523809526,0.769047619047619,4.489164086687306
Angola,13068161.0,4,,19,2,0,-11.2027,17.8739,1.5304372206617288e-05,0.00014539153596286426,10.526315789473683
Antigua and Barbuda,86754.0,5,,23,2,0,17.0608,-61.7964,0.0023053692048781616,0.026511745856098855,8.695652173913043
Argentina,41343201.0,6,,2208,97,0,-38.4161,-63.6167,0.00023462140727806733,0.005340660487319305,4.393115942028985
Armenia,2968000.0,7,,1039,14,0,40.0691,45.0382,0.0004716981132075472,0.0350067385444744,1.3474494706448508
Australia,21515754.0,8,Australian Capital Territory,102,2,0,-35.4735,149.0124,9.295514347301051e-06,0.00047407123171235363,1.9607843137254901
Australia,21515754.0,9,New South Wales,2863,25,0,-33.8688,151.2093,0.00011619392934126314,0.013306528788161458,0.8732099196646874
Australia,21515754.0,10,Northern Territory,28,0,0,-12.4634,130.8456,0.0,0.00013013720086221472,0.0
Australia,21515754.0,11,Queensland,987,5,0,-28.0167,153.4,2.323878586825263e-05,0.00458733633039307,0.5065856129685917
Australia,21515754.0,12,South Australia,429,4,0,-34.9285,138.6007,1.8591028694602103e-05,0.0019938878274960753,0.9324009324009324
Australia,21515754.0,13,Tasmania,144,5,0,-41.4545,145.9707,2.323878586825263e-05,0.0006692770330056757,3.4722222222222223
Australia,21515754.0,14,Victoria,1281,14,0,-37.8136,144.9631,6.506860043110736e-05,0.005953776939446324,1.092896174863388
Australia,21515754.0,15,Western Australia,517,6,0,-31.9505,115.8605,2.7886543041903153e-05,0.0024028904587773217,1.160541586073501
Austria,8205000.0,16,,14041,368,0,47.5162,14.5501,0.004485070079219988,0.17112736136502132,2.620895947582081
Azerbaijan,8303512.0,17,,1148,12,0,40.1431,47.5769,0.00014451716334004213,0.013825475292864032,1.0452961672473868
Bahamas,301790.0,18,,47,8,0,25.0343,-77.3963,0.002650849928758408,0.015573743331455647,17.02127659574468
Bahrain,738004.0,19,,1361,6,0,26.0275,50.55,0.0008130037235570539,0.1844163446268584,0.440852314474651
Bangladesh,156118464.0,20,,803,39,0,23.685,90.3563,2.498102979030078e-05,0.0005143529979900392,4.85678704856787
Barbados,285653.0,21,,72,4,0,13.1939,-59.5432,0.0014003003644281699,0.025205406559707058,5.555555555555555
Belarus,9685000.0,22,,2919,29,0,53.7098,27.9534,0.00029943211151264843,0.03013939081053175,0.9934909215484755
Belgium,10403000.0,23,,30589,3903,0,50.8333,4.0,0.037518023647024897,0.29404018071710086,12.759488705090066
Benin,9056010.0,24,,35,1,0,9.3077,2.3158,1.104239063340257e-05,0.0003864836721690899,2.857142857142857
Bhutan,699847.0,25,,5,0,0,27.5142,90.4336,0.0,0.0007144418708660607,0.0
Bolivia,9947418.0,26,,330,27,0,-16.2902,-63.5887,0.000271427218600847,0.0033174437828992404,8.181818181818182
Bosnia and Herzegovina,4590000.0,27,,1037,39,0,43.9159,17.6791,0.0008496732026143791,0.02259259259259259,3.7608486017357765
Brazil,201103330.0,28,,23430,1328,0,-14.235,-51.9253,0.0006603570413279581,0.011650727016802755,5.66794707639778
Brunei,395027.0,29,,136,1,0,4.5353,114.7277,0.0002531472532257289,0.034428026438699126,0.7352941176470588
Bulgaria,7000039.0,30,,685,32,0,42.7339,25.4858,0.0004571403102182716,0.009785659765609876,4.671532846715328
Burkina Faso,16241811.0,31,,497,27,0,12.2383,-1.5616,0.0001662376196841596,0.003060003591963975,5.432595573440644
Cabo Verde,508659.0,32,,10,1,0,16.5388,-23.0418,0.0001965953615290401,0.001965953615290401,10.0
Cambodia,14453680.0,33,,122,0,0,11.55,104.9167,0.0,0.000844075695601397,0.0
Cameroon,19294149.0,34,,820,12,0,3.8480000000000003,11.5021,6.219502088431057e-05,0.004249993093761223,1.4634146341463417
Canada,33679000.0,35,Alberta,1732,46,0,53.9333,-116.5765,0.0001365836277799222,0.005142670506844028,2.655889145496536
Canada,33679000.0,36,British Columbia,1490,69,0,49.2827,-123.1207,0.00020487544166988332,0.004424121856349654,4.630872483221476
Canada,33679000.0,37,Grand Princess,13,0,0,37.6489,-122.6655,0.0,3.859972089432584e-05,0.0
Canada,33679000.0,38,Manitoba,246,4,0,53.7609,-98.8139,1.1876837198254105e-05,0.0007304254876926274,1.6260162601626018
Canada,33679000.0,39,New Brunswick,116,0,0,46.5653,-66.4619,0.0,0.00034442827874936905,0.0
Canada,33679000.0,40,Newfoundland and Labrador,244,3,0,53.1355,-57.6604,8.90762789869058e-06,0.0007244870690935005,1.2295081967213115
Canada,33679000.0,41,Nova Scotia,474,3,0,44.681999999999995,-63.7443,8.90762789869058e-06,0.0014074052079931115,0.6329113924050633
Canada,33679000.0,42,Ontario,7470,291,0,51.2538,-85.3232,0.0008640399061729861,0.02217999346773954,3.8955823293172687
Canada,33679000.0,43,Prince Edward Island,25,0,0,46.5107,-63.4168,0.0,7.423023248908816e-05,0.0
Canada,33679000.0,44,Quebec,13557,360,0,52.9399,-73.5491,0.0010689153478428695,0.04025357047418272,2.6554547466253595
Canada,33679000.0,45,Saskatchewan,300,4,0,52.9399,-106.4509,1.1876837198254105e-05,0.000890762789869058,1.3333333333333335
Central African Republic,4844927.0,46,,11,0,0,6.6111,20.9394,0.0,0.00022704160454842766,0.0
Chad,10543464.0,47,,23,0,0,15.4542,18.7322,0.0,0.00021814462495437935,0.0
Chile,16746491.0,48,,7525,82,0,-35.6751,-71.543,0.0004896548178361664,0.04493478663679454,1.089700996677741
China,1330044000.0,49,Anhui,991,6,0,31.8257,117.2264,4.511128955132311e-07,7.450881324226868e-05,0.6054490413723511
China,1330044000.0,50,Beijing,589,8,0,40.1824,116.4142,6.014838606843082e-07,4.428424924288219e-05,1.3582342954159592
China,1330044000.0,51,Chongqing,579,6,0,30.0572,107.874,4.511128955132311e-07,4.3532394417026806e-05,1.0362694300518136
China,1330044000.0,52,Fujian,352,1,0,26.0789,117.9874,7.518548258553852e-08,2.646528987010956e-05,0.2840909090909091
China,1330044000.0,53,Gansu,139,2,0,37.8099,101.0583,1.5037096517107704e-07,1.0450782079389854e-05,1.4388489208633095
China,1330044000.0,54,Guangdong,1555,8,0,23.3417,113.4244,6.014838606843082e-07,0.0001169134254205124,0.5144694533762058
China,1330044000.0,55,Guangxi,254,2,0,23.8298,108.7881,1.5037096517107704e-07,1.9097112576726787e-05,0.7874015748031495
China,1330044000.0,56,Guizhou,146,2,0,26.8154,106.8748,1.5037096517107704e-07,1.0977080457488625e-05,1.36986301369863
China,1330044000.0,57,Hainan,168,6,0,19.1959,109.7453,4.511128955132311e-07,1.263116107437047e-05,3.571428571428571
China,1330044000.0,58,Hebei,327,6,0,39.549,116.1306,4.511128955132311e-07,2.4585652805471097e-05,1.834862385321101
China,1330044000.0,59,Heilongjiang,740,13,0,47.861999999999995,127.7615,9.774112736120009e-07,5.56372571132985e-05,1.7567567567567568
China,1330044000.0,60,Henan,1276,22,0,33.882,113.61399999999999,1.6540806168818474e-06,9.593667577914714e-05,1.7241379310344827
China,1330044000.0,61,Hong Kong,1009,4,0,22.3,114.2,3.007419303421541e-07,7.586215192880837e-05,0.39643211100099107
China,1330044000.0,62,Hubei,67803,3221,0,30.9756,112.2707,0.0002421724394080196,0.005097801275747269,4.75052726280548
China,1330044000.0,63,Hunan,1019,4,0,27.6104,111.7088,3.007419303421541e-07,7.661400675466375e-05,0.39254170755642787
China,1330044000.0,64,Inner Mongolia,190,1,0,44.0935,113.9448,7.518548258553852e-08,1.428524169125232e-05,0.5263157894736842
China,1330044000.0,65,Jiangsu,653,0,0,32.9711,119.455,0.0,4.909612012835665e-05,0.0
China,1330044000.0,66,Jiangxi,937,1,0,27.614,115.7221,7.518548258553852e-08,7.044879718264959e-05,0.10672358591248667
China,1330044000.0,67,Jilin,100,1,0,43.6661,126.1923,7.518548258553852e-08,7.518548258553852e-06,1.0
China,1330044000.0,68,Liaoning,145,2,0,41.2956,122.6085,1.5037096517107704e-07,1.0901894974903086e-05,1.3793103448275863
China,1330044000.0,69,Macau,45,0,0,22.1667,113.55,0.0,3.3833467163492337e-06,0.0
China,1330044000.0,70,Ningxia,75,0,0,37.2692,106.1655,0.0,5.638911193915389e-06,0.0
China,1330044000.0,71,Qinghai,18,0,0,35.7452,95.9956,0.0,1.3533386865396934e-06,0.0
China,1330044000.0,72,Shaanxi,256,3,0,35.1917,108.8701,2.2555644775661556e-07,1.924748354189786e-05,1.171875
China,1330044000.0,73,Shandong,784,7,0,36.3427,118.1498,5.262983780987696e-07,5.8945418347062205e-05,0.8928571428571428
China,1330044000.0,74,Shanghai,618,7,0,31.201999999999998,121.4491,5.262983780987696e-07,4.64646282378628e-05,1.132686084142395
China,1330044000.0,75,Shanxi,173,0,0,37.5777,112.2922,0.0,1.3007088487298165e-05,0.0
China,1330044000.0,76,Sichuan,560,3,0,30.6171,102.7103,2.2555644775661556e-07,4.210387024790157e-05,0.5357142857142857
China,1330044000.0,77,Tianjin,184,3,0,39.3054,117.323,2.2555644775661556e-07,1.3834128795739087e-05,1.6304347826086956
China,1330044000.0,78,Tibet,1,0,0,31.6927,88.0924,0.0,7.518548258553852e-08,0.0
China,1330044000.0,79,Xinjiang,76,3,0,41.1129,85.2401,2.2555644775661556e-07,5.714096676500928e-06,3.9473684210526314
China,1330044000.0,80,Yunnan,184,2,0,24.974,101.48700000000001,1.5037096517107704e-07,1.3834128795739087e-05,1.0869565217391304
China,1330044000.0,81,Zhejiang,1267,1,0,29.1832,120.0934,7.518548258553852e-08,9.526000643587731e-05,0.07892659826361484
Colombia,47790000.0,82,,2852,112,0,4.5709,-74.2973,0.00023435865243774852,0.005967775685289809,3.9270687237026647
Congo (Brazzaville),3039126.0,83,,60,5,0,-4.0383,21.7587,0.00016452098399342442,0.001974251807921093,8.333333333333332
Congo (Kinshasa),70916439.0,84,,235,20,0,-4.0383,21.7587,2.8202205697327808e-05,0.00033137591694360174,8.51063829787234
Costa Rica,4516220.0,85,,612,3,0,9.7489,-83.7534,6.642723339429878e-05,0.01355115561243695,0.49019607843137253
Cote d'Ivoire,21058798.0,86,,626,6,0,7.54,-5.5471,2.849165465189419e-05,0.0029726293020142934,0.9584664536741214
Croatia,4284889.0,87,,1650,25,0,45.1,15.2,0.0005834456855241758,0.0385074152445956,1.5151515151515151
Diamond Princess,,88,,712,11,0,0.0,0.0,,,1.544943820224719
Cuba,11423000.0,89,,726,21,0,22.0,-80.0,0.00018383962181563513,0.006355598354197672,2.8925619834710745
Cyprus,1102677.0,90,,662,12,0,35.1264,33.4299,0.0010882606601933294,0.060035713087332014,1.812688821752266
Czechia,10476000.0,91,,6059,143,0,49.8175,15.472999999999999,0.001365024818633066,0.057836960672012216,2.3601254332398085
Denmark,5484000.0,92,Faroe Islands,184,0,0,61.8926,-6.9118,0.0,0.0033552151714077317,0.0
Denmark,5484000.0,93,Greenland,11,0,0,71.7069,-42.6043,0.0,0.00020058351568198393,0.0
Denmark,5484000.0,94,,6318,285,0,56.2639,9.5018,0.005196936542669585,0.1152078774617068,4.510921177587844
Djibouti,740528.0,95,,298,2,0,11.8251,42.5903,0.0002700775662770348,0.04024155737527818,0.6711409395973155
Dominican Republic,9823821.0,96,,3167,177,0,18.7357,-70.1627,0.001801742926708457,0.032237965247941716,5.588885380486264
Ecuador,14790608.0,97,,7529,355,0,-1.8312,-78.1834,0.002400171784689311,0.05090392497725584,4.715101607119139
Egypt,80471869.0,98,,2190,164,0,26.0,30.0,0.00020379792595596357,0.0027214479136802453,7.488584474885844
El Salvador,6052064.0,99,,137,6,0,13.7942,-88.8965,9.913973150316983e-05,0.0022636905359890444,4.37956204379562
Equatorial Guinea,1014999.0,100,,21,0,0,1.5,10.0,0.0,0.0020689675556330596,0.0
Eritrea,5792984.0,101,,34,0,0,15.1794,39.7823,0.0,0.0005869168635715203,0.0
Estonia,1291170.0,102,,1332,28,0,58.5953,25.0136,0.0021685757878513287,0.10316224819349891,2.1021021021021022
Eswatini,1354051.0,103,,15,0,0,-26.5225,31.4659,0.0,0.0011077869297389832,0.0
Ethiopia,88013491.0,104,,74,3,0,9.145,40.4897,3.4085683523222594e-06,8.40780193572824e-05,4.054054054054054
Fiji,875983.0,105,,16,0,0,-17.7134,178.065,0.0,0.0018265194644188302,0.0
Finland,5244000.0,106,,3064,59,0,64.0,26.0,0.0011250953470633104,0.058428680396643784,1.925587467362924
France,64768389.0,107,French Guiana,86,0,0,3.9339,-53.1258,0.0,0.0001327808230647824,0.0
France,64768389.0,108,French Polynesia,55,0,0,-17.6797,149.4068,0.0,8.491796823910504e-05,0.0
France,64768389.0,109,Guadeloupe,143,8,0,16.25,-61.5833,1.235170447114255e-05,0.0002207867174216731,5.594405594405594
France,64768389.0,110,Mayotte,207,3,0,-12.8275,45.1662,4.631889176678457e-06,0.0003196003531908135,1.4492753623188406
France,64768389.0,111,New Caledonia,18,0,0,-20.9043,165.618,0.0,2.779133506007074e-05,0.0
France,64768389.0,112,Reunion,391,0,0,-21.1351,55.2471,0.0,0.0006036895560270921,0.0
France,64768389.0,113,Saint Barthelemy,6,0,0,17.9,-62.8333,0.0,9.263778353356913e-06,0.0
France,64768389.0,114,St Martin,32,2,0,18.0708,-63.0501,3.0879261177856373e-06,4.94068178845702e-05,6.25
France,64768389.0,115,Martinique,157,6,0,14.6415,-61.0242,9.263778353356913e-06,0.00024240220024617258,3.821656050955414
France,64768389.0,116,,136779,14967,0,46.2276,2.2137,0.02310849510244882,0.21118172323230086,10.942469238698923
Gabon,1545255.0,117,,57,1,0,-0.8037,11.6094,6.471423810309626e-05,0.0036887115718764866,1.7543859649122806
